"Source:","/home/decadenza/Desktop/OldStyleDigitalClock/KiCadProject/OldStyleDigitalClock.kicad_sch"
"Date:","Sun 18 May 2025 16:17:42 BST"
"Tool:","Eeschema 6.0.11+dfsg-1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","81"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Availability","Check_prices","Description","MF","MP","Package","Price","SnapEDA_Link"
"","","BT1","1.2 V","Device:Battery_Cell","CustomLibrary:AA battery holder","~","","","","","","","",""
"","","BT2","1.2 V","Device:Battery_Cell","CustomLibrary:AA battery holder","~","","","","","","","",""
"","","BT3","1.2 V","Device:Battery_Cell","CustomLibrary:AA battery holder","~","","","","","","","",""
"","","C1","0.1 µF","Device:C","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","~","","","","","","","",""
"","","C2","0.1 µF","Device:C","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","~","","","","","","","",""
"","","C3","0.1 µF","Device:C","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","~","","","","","","","",""
"","","C4","10 µF","Device:C_Polarized","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~","","","","","","","",""
"","","C5","20 pF","Device:C","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","~","","","","","","","",""
"","","C6","10 pF","Device:C","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","~","","","","","","","",""
"","","C7","0.1 µF","Device:C","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","~","","","","","","","",""
"","","C8","0.1 µF","Device:C","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","~","","","","","","","",""
"","","C9","0.1 µF","Device:C","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","~","","","","","","","",""
"","","C10","0.1 µF","Device:C","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","~","","","","","","","",""
"","","C11","0.1 µF","Device:C","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","~","","","","","","","",""
